iter	RMSE
0	15.6378369
1	14.93253634
2	13.53796808
3	12.4505475
4	11.72099025
5	11.31273947
6	11.05854649
7	10.69690757
8	10.28464568
9	10.10084801
10	9.520871605
11	9.272666142
12	9.272666142
13	8.657706181
14	8.433162001
15	8.178514016
16	7.715693569
17	7.382208897
18	7.254514807
19	7.128782589
20	6.751355024
21	6.662847301
22	6.219750753
23	5.818804947
24	5.473853695
25	5.390512112
26	5.326011215
27	5.040074501
28	4.832540316
29	4.753709668
30	4.496647919
31	4.448216926
32	4.358356163
33	4.30900801
34	4.263028818
35	4.123390186
36	4.09114092
37	4.085527554
38	4.042420135
39	4.014356838
40	3.983638977
41	3.983638977
42	3.982086961
43	3.748974761
44	3.591877097
45	3.478355473
46	3.448653123
47	3.41277166
48	3.305502106
49	3.214803854
50	3.11530348
51	3.072832174
52	2.964349759
53	2.879271179
54	2.862195818
55	2.840433564
56	2.824760346
57	2.763672944
58	2.723548946
59	2.657543609
60	2.657086165
61	2.656439823
62	2.60739369
63	2.549231856
64	2.523523998
65	2.482131817
66	2.462030084
67	2.443175073
68	2.414603759
69	2.390721025
70	2.367356585
71	2.367294374
72	2.316554211
73	2.316554211
74	2.304528571
75	2.292784322
76	2.274959327
77	2.264424696
78	2.216048753
79	2.178304817
80	2.142203101
81	2.11134466
82	2.064300354
83	2.043720558
84	2.043426033
85	2.0112555
86	1.958657249
87	1.916985639
88	1.906471489
89	1.889371085
90	1.861597736
91	1.836602446
92	1.836413169
93	1.800436831
94	1.800436831
95	1.79821489
96	1.763702751
97	1.734172556
98	1.695085685
99	1.685279161
100	1.659024441
101	1.630150986
102	1.608511628
103	1.588839995
104	1.561308715
105	1.542308473
106	1.537219402
107	1.53522291
108	1.51690678
109	1.498838324
110	1.485163926
111	1.474048431
112	1.454267684
113	1.44532318
114	1.433025855
115	1.426317374
116	1.412619
117	1.392898316
118	1.382068952
119	1.371408228
120	1.363699344
121	1.354092788
122	1.346996272
123	1.336750589
124	1.336515649
125	1.3316656
126	1.32487882
127	1.318159129
128	1.317554845
129	1.310075429
130	1.302300544
131	1.296727064
132	1.289787058
133	1.286217702
134	1.286187566
135	1.285007353
136	1.279999082
137	1.277140618
138	1.272378273
139	1.266168895
140	1.262103355
141	1.259114303
142	1.256837134
143	1.256837134
144	1.252663247
145	1.249270405
146	1.246843379
147	1.245882479
148	1.245780938
149	1.244425956
150	1.240595353
151	1.238249272
152	1.237251438
153	1.234562707
154	1.234479289
155	1.23398187
156	1.23073942
157	1.230723715
158	1.230610111
159	1.227712186
160	1.225280602
161	1.222631565
162	1.221423463
163	1.218782724
164	1.21649209
165	1.215181223
166	1.214819193
167	1.213740918
168	1.212933998
169	1.21125359
170	1.208516398
171	1.207595649
172	1.207529854
173	1.207529854
174	1.206100152
175	1.205089902
176	1.203510507
177	1.200474592
178	1.199930596
179	1.198037933
180	1.196491832
181	1.195408157
182	1.194945994
183	1.194006407
184	1.193792963
185	1.192491526
186	1.191121873
187	1.191056802
188	1.190739841
189	1.189937062
190	1.189808373
191	1.189541571
192	1.18897262
193	1.188198044
194	1.186726602
195	1.186716958
196	1.186716448
197	1.186365435
198	1.185452546
199	1.185452546
200	1.185004889
201	1.184044387
202	1.183197281
203	1.183195305
204	1.18238282
205	1.181431612
206	1.181384231
207	1.181350318
208	1.180065856
209	1.179612887
210	1.179600469
211	1.179472323
212	1.179104609
213	1.178946763
214	1.178839872
215	1.178354373
216	1.178288657
217	1.178287316
218	1.177837536
219	1.177637324
220	1.177637324
221	1.177636512
222	1.176668231
223	1.17600424
224	1.175533137
225	1.175500942
226	1.17549069
227	1.174998398
228	1.174380348
229	1.174291776
230	1.173921653
231	1.173274528
232	1.172896894
233	1.17254842
234	1.172311019
235	1.171721623
236	1.171382724
237	1.170918124
238	1.170258334
239	1.170227969
240	1.170039894
241	1.170007399
242	1.169593538
243	1.169233353
244	1.169201986
245	1.168537043
246	1.168507376
247	1.168482542
248	1.16808661
249	1.167931087
250	1.167866779
251	1.167566825
252	1.167066655
253	1.166912209
254	1.166724784
255	1.166670411
256	1.166512966
257	1.166455193
258	1.166351037
259	1.16612269
260	1.166122331
261	1.165946126
262	1.165925507
263	1.165751233
264	1.165645203
265	1.165555835
266	1.16539395
267	1.165229303
268	1.165099539
269	1.165098573
270	1.164905035
271	1.164719529
272	1.164490015
273	1.164453403
274	1.164342119
275	1.16434201
276	1.164136227
277	1.164016098
278	1.163941884
279	1.16382921
280	1.163738401
281	1.163738401
282	1.163636022
283	1.163533751
284	1.163391029
285	1.163347716
286	1.163153104
287	1.163059243
288	1.162929057
289	1.162769946
290	1.162641344
291	1.162488789
292	1.162397176
293	1.162284628
294	1.162158601
295	1.162065251
296	1.162065251
297	1.162003499
298	1.162003348
299	1.161998463
300	1.16193797
301	1.161931776
302	1.161807005
303	1.161752916
304	1.161679739
305	1.161591915
306	1.161560518
307	1.161481851
308	1.161443685
309	1.161411387
310	1.161381458
311	1.161265426
312	1.161253532
313	1.161157508
314	1.161151733
315	1.161132035
316	1.1610528
317	1.160984458
318	1.160934737
319	1.160872915
320	1.160816498
321	1.160785707
322	1.160686728
323	1.160616613
324	1.16058578
325	1.160532211
326	1.160472331
327	1.160441008
328	1.160375086
329	1.160341656
330	1.160300341
331	1.160266891
332	1.16024276
333	1.160208551
334	1.160180862
335	1.160148144
336	1.160116145
337	1.160086788
338	1.160055839
339	1.160032903
340	1.160031607
341	1.159998404
342	1.159984008
343	1.159953758
344	1.159913625
345	1.159896223
346	1.1598959
347	1.15986455
348	1.159845254
349	1.159833525
350	1.159823106
351	1.159822696
352	1.159803468
353	1.159788559
354	1.159765811
355	1.159753936
356	1.159748302
357	1.159739769
358	1.159719607
359	1.159711676
360	1.159690085
361	1.159658246
362	1.159648882
363	1.15964859
364	1.159648209
365	1.159637164
366	1.159601761
367	1.159581966
368	1.159573744
369	1.159566309
370	1.159565972
371	1.15951961
372	1.159518444
373	1.159516261
374	1.15950434
375	1.159498632
376	1.159493111
377	1.159463956
378	1.159447985
379	1.159446488
380	1.159440272
381	1.159428593
382	1.159428206
383	1.159401817
384	1.159389798
385	1.159374623
386	1.159357822
387	1.159346868
388	1.159343193
389	1.159342633
390	1.159335548
391	1.159325568
392	1.159324919
393	1.159321519
394	1.159313868
395	1.159303178
396	1.159293994
397	1.159292002
398	1.159284262
399	1.159270014
400	1.159260474
401	1.159256165
402	1.159253625
403	1.159246329
404	1.159232797
405	1.159224211
406	1.159216087
407	1.159209693
408	1.159209557
409	1.159209546
410	1.159205154
411	1.159204984
412	1.159200531
413	1.159199596
414	1.159199396
415	1.159199352
416	1.159192791
