iter	Passed	Remaining
0	79	955392
1	165	989202
2	222	887465
3	306	917019
4	379	907375
5	380	759042
6	382	653109
7	465	696185
8	528	702089
9	531	635475
10	570	619593
11	653	651095
12	654	601687
13	732	624979
14	737	587601
15	800	597337
16	876	615655
17	898	596142
18	971	610808
19	1047	625552
20	1121	637843
21	1200	651331
22	1264	656051
23	1345	669225
24	1423	679476
25	1429	656345
26	1507	666371
27	1513	645048
28	1517	624191
29	1597	635113
30	1675	644782
31	1758	655665
32	1836	663926
33	1840	645751
34	1923	655335
35	1927	638534
36	1943	626341
37	1945	610366
38	1962	599733
39	2023	603081
40	2090	607676
41	2091	593359
42	2092	579876
43	2131	577380
44	2212	585922
45	2287	592579
46	2362	598698
47	2440	605647
48	2452	596213
49	2537	604347
50	2598	606852
51	2681	614150
52	2766	621627
53	2848	628073
54	2932	634689
55	3007	639312
56	3085	644430
57	3150	646584
58	3233	652253
59	3314	657375
60	3315	646790
61	3316	636500
62	3357	633999
63	3435	638592
64	3512	642784
65	3574	644122
66	3584	636324
67	3657	639575
68	3738	644308
69	3744	636090
70	3825	640520
71	3826	631818
72	3913	637305
73	3914	628759
74	3925	622088
75	3991	624145
76	4071	628376
77	4076	620958
78	4152	624538
79	4236	629129
80	4320	633650
81	4394	636516
82	4476	640521
83	4535	641257
84	4536	633816
85	4578	632221
86	4661	636172
87	4741	639622
88	4743	632758
89	4765	628478
90	4840	631286
91	4921	634916
92	4922	628171
93	5008	632184
94	5009	625599
95	5010	619225
96	5093	622939
97	5176	626528
98	5242	628115
99	5329	632105
100	5412	635519
101	5493	638703
102	5570	641276
103	5635	642450
104	5696	643143
105	5773	645702
106	5776	639862
107	5778	634090
108	5854	636576
109	5930	638862
110	6017	642357
111	6096	644930
112	6155	645338
113	6235	647948
114	6280	646881
115	6345	647913
116	6417	649597
117	6504	652731
118	6586	655392
119	6685	659668
120	6729	658407
121	6815	661332
122	6884	662574
123	6950	663479
124	6953	658327
125	7045	661724
126	7143	665575
127	7220	667462
128	7223	662490
129	7328	666904
130	7427	670681
131	7518	673659
132	7588	674831
133	7684	678228
134	7686	673239
135	7691	668667
136	7767	670308
137	7775	666079
138	7860	668508
139	7925	669159
140	7987	669522
141	8071	671770
142	8146	673225
143	8147	668553
144	8213	669224
145	8295	671256
146	8387	674041
147	8400	670415
148	8401	665972
149	8489	668383
150	8572	670425
151	8659	672714
152	8683	670077
153	8764	671940
154	8766	667656
155	8769	663531
156	8839	664573
157	8840	660386
158	8842	656257
159	8916	657590
160	8994	659190
161	9073	660798
162	9151	662354
163	9230	663894
164	9314	665830
165	9392	667285
166	9395	663505
167	9402	659966
168	9409	656465
169	9490	658165
170	9563	659306
171	9640	660720
172	9642	656945
173	9642	653154
174	9729	655241
175	9776	654561
176	9854	656030
177	9929	657239
178	9976	656630
179	10049	657680
180	10121	658676
181	10192	659609
182	10199	656391
183	10276	657710
184	10279	654261
185	10370	656443
186	10431	656714
187	10432	653271
188	10445	650532
189	10535	652634
190	10537	649289
191	10541	646110
192	10611	646948
193	10688	648279
194	10772	649911
195	10773	646604
196	10773	643318
197	10857	644996
198	10938	646476
199	10939	643256
200	11030	645324
201	11131	647950
202	11238	650863
203	11239	647710
204	11297	647809
205	11412	651185
206	11414	648101
207	11416	645056
208	11526	648059
209	11635	651045
210	11637	647992
211	11660	646186
212	11672	643765
213	11676	640889
214	11678	637981
215	11783	640680
216	11786	637831
217	11787	634917
218	11836	634558
219	11928	636528
220	11929	633641
221	11930	630790
222	11999	631563
223	12098	633891
224	12176	635054
225	12178	632287
